date,daily_ave
2005-01-01T00:00:00Z,3107.625
2005-01-02T00:00:00Z,3068.2916666666665
2005-01-03T00:00:00Z,3061.2916666666665
2005-01-04T00:00:00Z,2565.7083333333335
2005-01-05T00:00:00Z,2495.7083333333335
2005-01-06T00:00:00Z,2734.9166666666665
2005-01-07T00:00:00Z,3179.6666666666665
2005-01-08T00:00:00Z,3360.7083333333335
2005-01-09T00:00:00Z,3763.9583333333335
2005-01-10T00:00:00Z,3559.2083333333335
2005-01-11T00:00:00Z,3405.6666666666665
2005-01-12T00:00:00Z,3157
2005-01-13T00:00:00Z,2517.625
2005-01-14T00:00:00Z,3211.75
2005-01-15T00:00:00Z,4809.708333333333
2005-01-16T00:00:00Z,4614.291666666667
2005-01-17T00:00:00Z,6012
2005-01-18T00:00:00Z,6657.291666666667
2005-01-19T00:00:00Z,6632.708333333333
2005-01-20T00:00:00Z,4971.916666666667
2005-01-21T00:00:00Z,5493
2005-01-22T00:00:00Z,6091.375
2005-01-23T00:00:00Z,7114.625
2005-01-24T00:00:00Z,6540.333333333333
2005-01-25T00:00:00Z,4519.416666666667
2005-01-26T00:00:00Z,3900.2083333333335
2005-01-27T00:00:00Z,4427
2005-01-28T00:00:00Z,5896.083333333333
2005-01-29T00:00:00Z,6352.708333333333
2005-01-30T00:00:00Z,4892.333333333333
2005-01-31T00:00:00Z,4760.958333333333
2005-02-01T00:00:00Z,5161.416666666667
2005-02-02T00:00:00Z,5136.416666666667
2005-02-03T00:00:00Z,5056
2005-02-04T00:00:00Z,4143.291666666667
2005-02-05T00:00:00Z,4134.666666666667
2005-02-06T00:00:00Z,4083.6666666666665
2005-02-07T00:00:00Z,3553
2005-02-08T00:00:00Z,2946.4583333333335
2005-02-09T00:00:00Z,3099.2916666666665
2005-02-10T00:00:00Z,3925.375
2005-02-11T00:00:00Z,4787.291666666667
2005-02-12T00:00:00Z,4095.0833333333335
2005-02-13T00:00:00Z,3799.3333333333335
2005-02-14T00:00:00Z,3388.7916666666665
2005-02-15T00:00:00Z,3171.2916666666665
2005-02-16T00:00:00Z,2996.3333333333335
2005-02-17T00:00:00Z,3977.7083333333335
2005-02-18T00:00:00Z,4472.625
2005-02-19T00:00:00Z,4600.875
2005-02-20T00:00:00Z,4317.625
2005-02-21T00:00:00Z,3622.7083333333335
2005-02-22T00:00:00Z,3038.0833333333335
2005-02-23T00:00:00Z,3255.625
2005-02-24T00:00:00Z,4546.375
2005-02-25T00:00:00Z,4295.625
2005-02-26T00:00:00Z,4345
2005-02-27T00:00:00Z,4563
2005-02-28T00:00:00Z,5248.666666666667
2005-03-01T00:00:00Z,4988.125
2005-03-02T00:00:00Z,5011.625
2005-03-03T00:00:00Z,4684.916666666667
2005-03-04T00:00:00Z,4412.708333333333
2005-03-05T00:00:00Z,3809.625
2005-03-06T00:00:00Z,3809
2005-03-07T00:00:00Z,3124.4166666666665
2005-03-08T00:00:00Z,3589.625
2005-03-09T00:00:00Z,4332.25
2005-03-10T00:00:00Z,4117.708333333333
2005-03-11T00:00:00Z,3888.0833333333335
2005-03-12T00:00:00Z,3947.75
2005-03-13T00:00:00Z,3303.25
2005-03-14T00:00:00Z,3640.1666666666665
2005-03-15T00:00:00Z,3799.0833333333335
2005-03-16T00:00:00Z,4264.125
2005-03-17T00:00:00Z,4860.375
2005-03-18T00:00:00Z,3984.625
2005-03-19T00:00:00Z,3703.3333333333335
2005-03-20T00:00:00Z,3175.0416666666665
2005-03-21T00:00:00Z,3092.75
2005-03-22T00:00:00Z,3187
2005-03-23T00:00:00Z,3044.875
2005-03-24T00:00:00Z,2699.6666666666665
2005-03-25T00:00:00Z,3055.6666666666665
2005-03-26T00:00:00Z,3216.7083333333335
2005-03-27T00:00:00Z,3536.375
2005-03-28T00:00:00Z,3141.5833333333335
2005-03-29T00:00:00Z,2631.6666666666665
2005-03-30T00:00:00Z,2611.3333333333335
2005-03-31T00:00:00Z,2474.6666666666665
2005-04-01T00:00:00Z,2573.0833333333335
2005-04-02T00:00:00Z,2909.0833333333335
2005-04-03T00:00:00Z,3218.3478260869565
2005-04-04T00:00:00Z,2657
2005-04-05T00:00:00Z,2510.7083333333335
2005-04-06T00:00:00Z,2393.75
2005-04-07T00:00:00Z,2292.375
2005-04-08T00:00:00Z,2275.7083333333335
2005-04-09T00:00:00Z,2445.5833333333335
2005-04-10T00:00:00Z,2670.3333333333335
2005-04-11T00:00:00Z,2472
2005-04-12T00:00:00Z,2596.6666666666665
2005-04-13T00:00:00Z,3459.7083333333335
2005-04-14T00:00:00Z,3025.375
2005-04-15T00:00:00Z,2652.4583333333335
2005-04-16T00:00:00Z,3155.7083333333335
2005-04-17T00:00:00Z,3099.0416666666665
2005-04-18T00:00:00Z,2584.25
2005-04-19T00:00:00Z,2499.2916666666665
2005-04-20T00:00:00Z,2534.9166666666665
2005-04-21T00:00:00Z,2556.4583333333335
2005-04-22T00:00:00Z,2348.7083333333335
2005-04-23T00:00:00Z,2460.625
2005-04-24T00:00:00Z,3500.9583333333335
2005-04-25T00:00:00Z,2902.2916666666665
2005-04-26T00:00:00Z,2660.7083333333335
2005-04-27T00:00:00Z,2488.0416666666665
2005-04-28T00:00:00Z,2690.9583333333335
2005-04-29T00:00:00Z,2479.2083333333335
2005-04-30T00:00:00Z,2513
2005-05-01T00:00:00Z,2460.3333333333335
2005-05-02T00:00:00Z,2630.4166666666665
2005-05-03T00:00:00Z,2618.0416666666665
2005-05-04T00:00:00Z,2452.0416666666665
2005-05-05T00:00:00Z,2654.5833333333335
2005-05-06T00:00:00Z,2596.375
2005-05-07T00:00:00Z,2780.0833333333335
2005-05-08T00:00:00Z,2619.0416666666665
2005-05-09T00:00:00Z,2608
2005-05-10T00:00:00Z,2644.625
2005-05-11T00:00:00Z,2884.5833333333335
2005-05-12T00:00:00Z,2798.3333333333335
2005-05-13T00:00:00Z,2287.7916666666665
2005-05-14T00:00:00Z,2675.7083333333335
2005-05-15T00:00:00Z,2581.7083333333335
2005-05-16T00:00:00Z,2473.75
2005-05-17T00:00:00Z,2415.4166666666665
2005-05-18T00:00:00Z,2428.6666666666665
2005-05-19T00:00:00Z,2575.3333333333335
2005-05-20T00:00:00Z,2433.6666666666665
2005-05-21T00:00:00Z,2522.0416666666665
2005-05-22T00:00:00Z,2672.0833333333335
2005-05-23T00:00:00Z,2725.0416666666665
2005-05-24T00:00:00Z,2264.4166666666665
2005-05-25T00:00:00Z,2297.4166666666665
2005-05-26T00:00:00Z,2551.9583333333335
